iter	PRAUC	Logloss
0	0.8135578402	0.6635255704
1	0.8278687362	0.6354168027
2	0.850681454	0.6081113028
3	0.856055393	0.581697755
4	0.8604397015	0.5561581411
5	0.8650341363	0.5309317842
6	0.864498068	0.5079823936
7	0.8657886567	0.4858677233
8	0.8690958732	0.4636447205
9	0.8714155377	0.4435584214
10	0.8725257252	0.4247298213
11	0.8727505364	0.4074945213
12	0.87196114	0.3901603344
13	0.8751307226	0.3718267746
14	0.876835374	0.355154144
15	0.8771615149	0.3400025573
16	0.8776163994	0.3258256802
17	0.8792095339	0.3114417476
18	0.8794086986	0.2989149717
19	0.8790343048	0.2861725835
20	0.883302257	0.2729029338
21	0.8825301462	0.2621152798
22	0.88234704	0.2527603573
23	0.8818726973	0.2427629157
24	0.8808785807	0.2332796488
25	0.8803774767	0.2244221865
26	0.8826825369	0.2151544952
27	0.8818440211	0.2070938742
28	0.8812656945	0.199786277
29	0.8824380231	0.1913097214
30	0.8833777542	0.1840903392
31	0.8835396876	0.1777302737
32	0.8858439299	0.1704213948
33	0.8870203967	0.1635520861
34	0.8872550538	0.1583894906
35	0.8868313129	0.1525210774
36	0.8868477051	0.1473490762
37	0.8871362955	0.1425101781
38	0.8875068997	0.1379613013
39	0.8871386159	0.1337357917
40	0.8875926516	0.1298645289
41	0.8877576413	0.1255571473
42	0.8876825426	0.1212992316
43	0.8876650055	0.1175875322
44	0.8880724027	0.1140981091
45	0.8889983729	0.110335656
46	0.8892857362	0.1073590925
47	0.8890159107	0.1044111391
48	0.8891349324	0.101317918
49	0.8890981015	0.09836103239
50	0.8888952285	0.09581958019
51	0.8890518018	0.09357691331
52	0.8889568317	0.09140131931
53	0.8888961613	0.08899958292
54	0.8889027852	0.08702499529
55	0.8903238294	0.08465626499
56	0.8898398468	0.08252443634
57	0.8898619915	0.08043020761
58	0.8899270869	0.07819925669
59	0.8896536411	0.07640192476
60	0.8897430068	0.07453833063
61	0.8899408282	0.07291283554
62	0.8903373341	0.07131252668
63	0.8905364417	0.06977131134
64	0.8904382209	0.06859351104
65	0.8906057149	0.06707597043
66	0.8907282883	0.06553556657
67	0.8907237328	0.06434069344
68	0.8907103684	0.06306472978
69	0.8909380906	0.06179982183
70	0.8908115856	0.06058582209
71	0.8918389381	0.05913371151
72	0.8916792751	0.05802714145
73	0.8920113026	0.05689132874
74	0.8916571368	0.05584466211
75	0.8927115679	0.054691529
76	0.8926166129	0.05377073999
77	0.8933800785	0.05258112014
78	0.8934434815	0.05173528361
79	0.8934894339	0.05104466109
80	0.8942559992	0.050022238
81	0.8950581268	0.04897713271
82	0.8954306377	0.04819856194
83	0.895387228	0.04771293195
84	0.8961010553	0.04682882679
85	0.8961985023	0.04618336584
86	0.8960821512	0.04555306216
87	0.8961085771	0.04494572674
88	0.896270543	0.04433557574
89	0.8964933132	0.04366619536
90	0.8961551482	0.04309501706
91	0.8960931897	0.04250987007
92	0.896325376	0.04213990569
93	0.8965968072	0.04148332136
94	0.8966042103	0.04101126651
95	0.8966775774	0.04055794558
96	0.8970114036	0.03993324762
97	0.8973572441	0.03944259652
98	0.8972346131	0.03903727694
99	0.8971434533	0.03867772847
100	0.8970893014	0.03822665575
101	0.8970803926	0.0377994509
102	0.8975737502	0.03723677472
103	0.8979501943	0.03675112258
104	0.8982098485	0.03630182445
105	0.8982450166	0.03595841204
106	0.898602396	0.03545031455
107	0.8987640857	0.03500141118
108	0.8987836133	0.03470101859
109	0.8990653144	0.03435403621
110	0.8992166287	0.03398588998
111	0.899874174	0.03349672683
112	0.8998351244	0.03324439866
113	0.8999042096	0.03301383153
114	0.9001051151	0.03260193059
115	0.9001972553	0.03237847372
116	0.900254943	0.03215173879
117	0.9004669525	0.0318416077
118	0.9005882367	0.03164114859
119	0.9006773406	0.03147029365
120	0.9008646616	0.03116424861
121	0.9011856716	0.03081958679
122	0.9011987462	0.03051866495
123	0.901232106	0.03037225087
124	0.9012781008	0.03015958248
125	0.901318818	0.02997961994
126	0.901471536	0.02986697484
127	0.9020834971	0.0296592242
128	0.9019783487	0.02948469902
129	0.902112011	0.02921222612
130	0.9021033576	0.02905409838
131	0.9023143366	0.02884905108
132	0.9024451826	0.0286335595
133	0.90260649	0.0284488274
134	0.9025846231	0.02832398666
135	0.9025686967	0.02822364551
136	0.9026753667	0.02805416127
137	0.9028689834	0.02789207772
138	0.902883755	0.02774675382
139	0.9030079294	0.02761267168
140	0.9030308464	0.02749478345
141	0.9031286292	0.02732424044
142	0.9034878244	0.02712798249
143	0.9036085411	0.02696778354
144	0.9038624549	0.02683016451
145	0.9038973884	0.02670084687
146	0.9039800649	0.02661062979
147	0.9040326326	0.02642122934
148	0.9042526068	0.02632140874
149	0.9043827137	0.02621731985
150	0.9045338351	0.02608974035
151	0.9045947905	0.02593479202
152	0.9047757168	0.02577230594
153	0.9047959872	0.02565885772
154	0.9050003278	0.02560396229
155	0.9051196826	0.02552463752
156	0.9053787903	0.02546969375
157	0.9054585387	0.02532894292
158	0.9055452943	0.02524923761
