iter	Passed	Remaining
0	12	12580
1	26	13252
2	41	13722
3	56	13962
4	72	14347
5	89	14789
6	107	15251
7	126	15699
8	146	16097
9	167	16586
10	188	16978
11	209	17289
12	231	17577
13	253	17877
14	275	18102
15	297	18317
16	319	18481
17	341	18645
18	363	18764
19	385	18907
20	408	19043
21	430	19142
22	452	19209
23	474	19296
24	496	19352
25	518	19419
26	540	19467
27	562	19514
28	584	19557
29	605	19589
30	627	19614
31	649	19640
32	671	19689
33	694	19725
34	716	19745
35	738	19771
36	760	19790
37	782	19812
38	804	19827
39	827	19852
40	849	19871
41	871	19884
42	893	19886
43	915	19891
44	936	19884
45	958	19883
46	980	19880
47	1002	19887
48	1024	19890
49	1046	19887
50	1068	19876
51	1090	19871
52	1111	19864
53	1134	19869
54	1156	19863
55	1177	19856
56	1199	19848
57	1221	19843
58	1244	19841
59	1267	19855
60	1288	19841
61	1311	19835
62	1333	19826
63	1354	19809
64	1376	19796
65	1397	19780
66	1419	19763
67	1441	19753
68	1462	19738
69	1484	19724
70	1506	19713
71	1528	19703
72	1550	19685
73	1572	19672
74	1593	19655
75	1615	19639
76	1637	19625
77	1659	19614
78	1681	19597
79	1702	19580
80	1724	19564
81	1746	19552
82	1768	19535
83	1789	19518
84	1811	19504
85	1833	19488
86	1855	19474
87	1877	19460
88	1899	19442
89	1921	19429
90	1942	19407
91	1965	19394
92	1986	19375
93	2008	19358
94	2030	19339
95	2052	19327
96	2073	19306
97	2096	19295
98	2118	19280
99	2140	19263
100	2162	19244
101	2184	19229
102	2205	19210
103	2228	19195
104	2250	19178
105	2271	19160
106	2293	19143
107	2315	19125
108	2337	19104
109	2359	19088
110	2381	19072
111	2403	19059
112	2425	19041
113	2447	19022
114	2469	19004
115	2491	18985
116	2513	18970
117	2535	18955
118	2557	18935
119	2579	18917
120	2601	18899
121	2623	18880
122	2645	18860
123	2667	18843
124	2689	18825
125	2710	18804
126	2733	18786
127	2755	18768
128	2776	18748
129	2798	18728
130	2820	18708
131	2842	18689
132	2864	18670
133	2885	18649
134	2907	18630
135	2929	18608
136	2951	18592
137	2973	18574
138	2995	18557
139	3017	18536
140	3039	18516
141	3061	18496
142	3082	18476
143	3105	18457
144	3127	18440
145	3148	18418
146	3170	18397
147	3192	18376
148	3213	18355
149	3235	18334
150	3257	18314
151	3278	18292
152	3300	18273
153	3322	18252
154	3344	18230
155	3365	18208
156	3387	18187
157	3409	18169
158	3431	18150
159	3453	18129
160	3475	18109
161	3496	18087
162	3518	18068
163	3540	18046
164	3561	18025
165	3583	18003
166	3605	17982
167	3626	17962
168	3648	17940
169	3670	17919
170	3691	17896
171	3713	17875
172	3735	17855
173	3757	17834
174	3778	17812
175	3800	17793
176	3822	17771
177	3843	17751
178	3866	17732
179	3887	17710
180	3909	17689
181	3931	17669
182	3953	17648
183	3975	17628
184	3997	17608
185	4018	17587
186	4040	17567
187	4062	17545
188	4084	17525
189	4106	17506
190	4128	17486
191	4150	17464
192	4171	17442
193	4192	17420
194	4214	17399
195	4236	17378
196	4258	17357
197	4279	17334
198	4301	17314
199	4323	17292
200	4345	17272
201	4366	17251
202	4388	17229
203	4410	17208
204	4432	17187
205	4454	17169
206	4476	17148
207	4497	17125
208	4519	17104
209	4540	17082
210	4562	17061
211	4584	17040
212	4606	17019
213	4627	16997
214	4650	16978
215	4671	16956
216	4693	16936
217	4715	16914
218	4737	16895
219	4759	16874
220	4781	16853
221	4803	16833
222	4825	16813
223	4847	16793
224	4869	16772
225	4891	16752
226	4913	16731
227	4935	16711
228	4957	16690
229	4979	16670
230	5000	16647
231	5022	16626
232	5044	16605
233	5066	16585
234	5088	16563
235	5110	16544
236	5132	16524
237	5154	16503
